round,stage,changed_bytes,mean_abs_byte_delta,hamming_distance_bits,state_hex,timing_ns,fips197_match
1,after_sub_bytes,16,70.5,54,63cab7040953d051cd60e0e7ba70e18c,2700,True
1,after_shift_rows,12,50.5,46,6353e08c0960e104cd70b751bacad0e7,2700,True
1,after_mix_columns,16,86.75,66,5f72641557f5bc92f7be3b291db9f91a,2700,True
1,after_add_round_key,16,118.75,80,89d810e8855ace682d1843d8cb128fe4,2700,True
2,after_sub_bytes,16,101.125,72,a761ca9b97be8b45d8ad1a611fc97369,300,True
2,after_shift_rows,12,50.875,46,a7be1a6997ad739bd8c9ca451f618b61,300,True
2,after_mix_columns,16,84.0,68,ff87968431d86a51645151fa773ad009,300,True
2,after_add_round_key,15,87.125,68,4915598f55e5d7a0daca94fa1f0a63f7,300,True
3,after_sub_bytes,16,109.5625,72,3b59cb73fcd90ee05774222dc067fb68,200,True
3,after_shift_rows,12,89.125,52,3bd92268fc74fb735767cbe0c0590e2d,200,True
3,after_mix_columns,16,45.625,62,4c9c1e66f771f0762c3f868e534df256,200,True
3,after_add_round_key,16,83.75,70,fa636a2825b339c940668a3157244d17,200,True
4,after_sub_bytes,16,80.3125,63,2dfb02343f6d12dd09337ec75b36e3f0,400,True
4,after_shift_rows,12,92.875,52,2d6d7ef03f33e334093602dd5bfb12c7,400,True
4,after_mix_columns,16,100.125,64,6385b79ffc538df997be478e7547d691,400,True
4,after_add_round_key,16,57.0625,76,247240236966b3fa6ed2753288425b6c,400,True
5,after_sub_bytes,16,54.5625,59,36400926f9336d2d9fb59d23c42c3950,400,True
5,after_shift_rows,12,50.25,44,36339d50f9b539269f2c092dc4406d23,400,True
5,after_mix_columns,16,113.25,68,f4bcd45432e554d075f1d6c51dd03b3c,400,True
5,after_add_round_key,16,111.8125,73,c81677bc9b7ac93b25027992b0261996,400,True
6,after_sub_bytes,16,90.0,61,e847f56514dadde23f77b64fe7f7d490,200,True
6,after_shift_rows,12,67.125,46,e8dab6901477d4653ff7f5e2e747dd4f,200,True
6,after_mix_columns,16,82.125,64,9816ee7400f87f556b2c049c8e5ad036,200,True
6,after_add_round_key,16,81.9375,70,c62fe109f75eedc3cc79395d84f9cf5d,200,True
7,after_sub_bytes,16,61.875,59,b415f8016858552e4bb6124c5f998a4c,300,True
7,after_shift_rows,11,64.875,54,b458124c68b68a014b99f82e5f15554c,300,True
7,after_mix_columns,16,78.875,68,c57e1c159a9bd286f05f4be098c63439,300,True
7,after_add_round_key,16,64.25,60,d1876c0f79c4300ab45594add66ff41f,300,True
8,after_sub_bytes,16,87.6875,69,3e175076b61c04678dfc2295f6a8bfc0,200,True
8,after_shift_rows,12,68.875,52,3e1c22c0b6fcbf768da85067f6170495,200,True
8,after_mix_columns,16,63.875,62,baa03de7a1f9b56ed5512cba5f414d23,200,True
8,after_add_round_key,16,95.9375,67,fde3bad205e5d0d73547964ef1fe37f1,200,True
9,after_sub_bytes,16,89.125,61,5411f4b56bd9700e96a0902fa1bb9aa1,200,True
9,after_shift_rows,12,67.0,46,54d990a16ba09ab596bbf40ea111702f,200,True
9,after_mix_columns,16,97.0,64,e9f74eec023020f61bf2ccf2353c21c7,200,True
9,after_add_round_key,16,109.6875,62,bd6e7c3df2b5779e0b61216e8b10b689,200,True
10,after_sub_bytes,16,93.5625,65,7a9f102789d5f50b2beffd9f3dca4ea7,200,True
10,after_shift_rows,12,80.0,48,7ad5fda789ef4e272bca100b3d9ff59f,200,True
10,after_mix_columns,,,,,200,True
10,after_add_round_key,16,61.9375,63,69c4e0d86a7b0430d8cdb78070b4c55a,200,True
